Model,MAE,RMSE,R2,MAPE
Random Forest,0.6236618505338088,0.9525505976031655,0.9735072661339956,0.7864915958382134
Gradient Boosting,0.6735388039057232,1.0338008505070706,0.9687949818596258,0.8444079843548459
Linear Regression,2.259937362313413,3.8154282362236605,0.5749527135686082,2.7236981547980865
