model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
logistic_regression,0.7218214607754734,0.15991356023770933,0.5,0.24232501023331968,0.6967922124532978,4507.0,1555.0,296.0,296.0
random_forest,0.8982566877066426,0.25146198830409355,0.07263513513513513,0.1127129750982962,0.693838778567416,5934.0,128.0,549.0,43.0
gradient_boosting,0.8943492636008415,0.2182741116751269,0.07263513513513513,0.10899873257287707,0.718974454287676,5908.0,154.0,549.0,43.0
