Driver,Team,Compound,LapNumber,TyreLife,TyreLifeSquared,Stint,Position,TrackStatus,IsPitLap,IsGreenFlag,RaceProgress,StintLength,StintProgress,DriverMedianPace,TeamMedianPace,PreviousLapTime,Rolling3LapAvg,Rolling5LapAvg,LapTimeSeconds
ALB,Williams,MEDIUM,30.0,34.0,1156.0,1.0,9.0,1,0,1,0.38461538461538464,32.0,0.9375,77.086,77.07499999999999,76.969,76.95166666666665,77.1544,76.888
ALB,Williams,MEDIUM,31.0,35.0,1225.0,1.0,8.0,1,0,1,0.3974358974358974,32.0,0.96875,77.086,77.07499999999999,76.888,76.85266666666666,77.0014,76.87
ALB,Williams,MEDIUM,32.0,36.0,1296.0,1.0,9.0,1,1,1,0.41025641025641024,32.0,1.0,77.086,77.07499999999999,76.87,76.909,76.9226,92.994
ALB,Williams,MEDIUM,33.0,9.0,81.0,2.0,10.0,1,1,1,0.4230769230769231,8.0,0.125,77.086,77.07499999999999,92.994,82.25066666666667,80.0844,82.236
ALB,Williams,MEDIUM,34.0,10.0,100.0,2.0,10.0,1,0,1,0.4358974358974359,8.0,0.25,77.086,77.07499999999999,82.236,84.03333333333333,81.1914,80.232
ALB,Williams,MEDIUM,35.0,11.0,121.0,2.0,10.0,1,0,1,0.44871794871794873,8.0,0.375,77.086,77.07499999999999,80.232,85.15400000000001,81.84400000000001,76.381
ALB,Williams,MEDIUM,36.0,12.0,144.0,2.0,10.0,1,0,1,0.46153846153846156,8.0,0.5,77.086,77.07499999999999,76.381,79.61633333333334,81.74260000000001,76.185
ALB,Williams,MEDIUM,37.0,13.0,169.0,2.0,9.0,12,0,0,0.47435897435897434,8.0,0.625,77.086,77.07499999999999,76.185,77.59933333333333,81.60560000000001,76.153
ALB,Williams,MEDIUM,38.0,14.0,196.0,2.0,9.0,1,0,1,0.48717948717948717,8.0,0.75,77.086,77.07499999999999,76.153,76.23966666666666,78.23740000000001,75.529
ALB,Williams,MEDIUM,39.0,15.0,225.0,2.0,9.0,1,0,1,0.5,8.0,0.875,77.086,77.07499999999999,75.529,75.95566666666667,76.896,75.303
ALB,Williams,MEDIUM,40.0,16.0,256.0,2.0,9.0,1,1,1,0.5128205128205128,8.0,1.0,77.086,77.07499999999999,75.303,75.66166666666668,75.9102,92.156
ALB,Williams,HARD,41.0,1.0,1.0,3.0,9.0,1,1,1,0.5256410256410257,36.0,0.027777777777777776,77.086,77.07499999999999,92.156,80.996,79.0652,81.398
ALB,Williams,HARD,42.0,2.0,4.0,3.0,10.0,1,0,1,0.5384615384615384,36.0,0.05555555555555555,77.086,77.07499999999999,81.398,82.95233333333333,80.1078,78.819
ALB,Williams,HARD,43.0,3.0,9.0,3.0,10.0,1,0,1,0.5512820512820513,36.0,0.08333333333333333,77.086,77.07499999999999,78.819,84.12433333333333,80.64099999999999,78.638
ALB,Williams,HARD,44.0,4.0,16.0,3.0,10.0,1,0,1,0.5641025641025641,36.0,0.1111111111111111,77.086,77.07499999999999,78.638,79.61833333333333,81.2628,79.225
ALB,Williams,HARD,45.0,5.0,25.0,3.0,10.0,1,0,1,0.5769230769230769,36.0,0.1388888888888889,77.086,77.07499999999999,79.225,78.89399999999999,82.0472,79.224
ALB,Williams,HARD,46.0,6.0,36.0,3.0,10.0,1,0,1,0.5897435897435898,36.0,0.16666666666666666,77.086,77.07499999999999,79.224,79.029,79.46079999999999,79.332
ALB,Williams,HARD,47.0,7.0,49.0,3.0,10.0,1,0,1,0.6025641025641025,36.0,0.19444444444444445,77.086,77.07499999999999,79.332,79.26033333333334,79.0476,79.173
ALB,Williams,HARD,48.0,8.0,64.0,3.0,11.0,1,0,1,0.6153846153846154,36.0,0.2222222222222222,77.086,77.07499999999999,79.173,79.243,79.1184,80.193
ALB,Williams,HARD,49.0,9.0,81.0,3.0,11.0,1,0,1,0.6282051282051282,36.0,0.25,77.086,77.07499999999999,80.193,79.566,79.42939999999999,78.234
ALB,Williams,HARD,50.0,10.0,100.0,3.0,11.0,1,0,1,0.6410256410256411,36.0,0.2777777777777778,77.086,77.07499999999999,78.234,79.19999999999999,79.2312,79.166
ALB,Williams,HARD,51.0,11.0,121.0,3.0,11.0,1,0,1,0.6538461538461539,36.0,0.3055555555555556,77.086,77.07499999999999,79.166,79.19766666666665,79.2196,79.828
ALB,Williams,HARD,52.0,12.0,144.0,3.0,11.0,1,0,1,0.6666666666666666,36.0,0.3333333333333333,77.086,77.07499999999999,79.828,79.07600000000001,79.3188,80.13
